Date,Country,Country ISO,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Highjacked,Looting/Theft/Robbery/Burglary of Health Supplies,Access Denied or Obstructed,Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Reported Health Worker Profession,Health Workers Killed,International Health Workers Working Within The Aid System Kill,International Health Worker Outside The Aid Structure Killed,National Employees of International Aid Agencies Killed,National Employees of Local NGO Killed,Health Worker Working Within National Health Structure Killed,National Health Worker Working for Unspecified Health Provider ,"Health Workers Working for INGO, ICRC or UN Killed","Health Workers Working for LNGO,  NGO or National Society of th",Health Workers Working for local health structure killed,Health Workers Killed In Captivity,Female Health Workers Killed,Male Health Workers Killed,Health Workers Injured,International Health Workers Working Within the Aid System Inju,International Health Worker Outside the Aid Structure Injured,National Employees of International Aid Agencies Injured,Health Worker Working Within National Health Structure Injured,National Health Worker Working For Unspecified Health Provider ,Female Health Workers Injured,Male Health Workers Injured ,Health Workers Kidnapped,International Health Workers Working Within the Aid System Kidn,International Health Worker Outside the Aid Structure Kidnapped,National Employees of International Aid Agencies Kidnapped,Health Worker Working Within National Health Structure Kidnappe,National Health Worker Working for Unspecified Health Provider ,Female Health Workers Kidnapped,Male Health Workers Kidanpped,Health Workers Arrested,International Health Workers Working Within the Aid System Arre,International Health Worker Outside the Aid Structure Arrested ,National Employees of International Aid Agencies Arrested or De,Health Worker Working Within National Health Structure Arrested,National Health Worker Working for Unspecified Health Provider ,Female Health Workers Arrested or Detained,Male Health Workers Arrested or Detained,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,SiND Event ID
1/1/2016,Ethiopia,ETH,Multiple,"Anuyak tribe, Nuer",Not Applicable - No Direct Violence,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20461
1/1/2016,Afghanistan,AFG,No Information,Unidentified Armed Actor,IED,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20438
1/1/2016,Haiti,HTI,Protestors,Local population,Firearms,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,3,0,0,NoInformation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20470
1/1/2016,Yemen,YEM,Multiple,"Government of Yemen, Shia al-Houthi rebels",Firearms,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20472
1/1/2016,Yemen,YEM,Civilian,Unidentified Armed Actor,Firearms,0,0,0,0,0,0,0,0,FALSE,0,0,2,0,Freed,0,0,0,ProgrammeStaff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20825
1/1/2016,Greece,GRC,Police,Greek Police,Firearms,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,21473
1/1/2016,Yemen,YEM,Civilian,Unidentified Armed Actor,Firearms,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,,2,0,0,ProgrammeStaff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20484
1/1/2016,CAR,CAF,Criminal,Criminal,No Information on the Weapon Used,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,21004
1/1/2016,Ethiopia,ETH,No Information,RTANotApplicable,Not Applicable - No Direct Violence,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,Driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,20467
1/1/2016,Afghanistan,AFG,Multiple,Unidentified Armed Actor,Firearms,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,21855
